Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u/1206","C_1206_3216Metric",142.075000,-78.825000,0.000000,top
"C2","10u/1206","C_1206_3216Metric",142.075000,-81.325000,0.000000,top
"C3","22n","C_0603_1608Metric",134.850000,-76.575000,90.000000,top
"C4","22u","C_0805_2012Metric",125.600000,-80.575000,-90.000000,top
"C5","100n","C_0603_1608Metric",164.150000,-87.550000,90.000000,top
"C6","22u","C_0805_2012Metric",128.000000,-80.575000,-90.000000,top
"C7","100p","C_0603_1608Metric",132.600000,-84.300000,90.000000,top
"C8","22u","C_0805_2012Metric",159.000000,-82.562500,90.000000,top
"C9","22u","C_0805_2012Metric",152.950000,-86.150000,180.000000,top
"C10","22u","C_0805_2012Metric",164.800000,-84.850000,180.000000,top
"C11","22u","C_0805_2012Metric",121.200000,-97.200000,0.000000,top
"C12","22u","C_0805_2012Metric",150.400000,-114.400000,0.000000,top
"C13","22u","C_0805_2012Metric",177.800000,-111.250000,-90.000000,top
"D1","B340A","D_SMA",132.100000,-78.825000,-90.000000,top
"IC1","ESP32-C3-WROOM-02-N4","ESP32C3WROOM02N4",179.500000,-91.000000,0.000000,top
"IC5","SI4174DY-T1-GE3","SOIC127P600X175-8N",101.988000,-78.500000,180.000000,top
"IC6","SI4174DY-T1-GE3","SOIC127P600X175-8N",102.000000,-85.500000,180.000000,top
"IC7","SI4174DY-T1-GE3","SOIC127P600X175-8N",101.988000,-92.500000,180.000000,top
"IC11","SI4174DY-T1-GE3","SOIC127P600X175-8N",101.988000,-105.500000,180.000000,top
"IC12","SI4174DY-T1-GE3","SOIC127P600X175-8N",102.000000,-112.500000,180.000000,top
"IC13","SI4174DY-T1-GE3","SOIC127P600X175-8N",101.988000,-119.500000,180.000000,top
"IC17","SI4174DY-T1-GE3","SOIC127P600X175-8N",116.500000,-122.012000,-90.000000,top
"IC18","SI4174DY-T1-GE3","SOIC127P600X175-8N",123.500000,-122.000000,-90.000000,top
"IC19","SI4174DY-T1-GE3","SOIC127P600X175-8N",130.500000,-122.012000,-90.000000,top
"IC23","SI4174DY-T1-GE3","SOIC127P600X175-8N",143.500000,-122.012000,-90.000000,top
"IC24","SI4174DY-T1-GE3","SOIC127P600X175-8N",150.500000,-122.000000,-90.000000,top
"IC25","SI4174DY-T1-GE3","SOIC127P600X175-8N",157.500000,-122.012000,-90.000000,top
"IC29","SI4174DY-T1-GE3","SOIC127P600X175-8N",170.500000,-122.012000,-90.000000,top
"IC30","SI4174DY-T1-GE3","SOIC127P600X175-8N",177.500000,-122.000000,-90.000000,top
"IC31","SI4174DY-T1-GE3","SOIC127P600X175-8N",184.500000,-122.012000,-90.000000,top
"J1","Conn_01x04","TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",89.000000,-133.000000,0.000000,top
"J2","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",170.500000,-103.500000,-90.000000,top
"J3","Conn_01x04","TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",91.000000,-78.000000,-90.000000,top
"J4","Conn_01x04","TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",91.000000,-105.000000,-90.000000,top
"J5","Conn_01x04","TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",116.000001,-133.000000,0.000000,top
"J6","Conn_01x04","TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",143.000001,-133.000000,0.000000,top
"J7","Conn_01x04","TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",170.000001,-133.000000,0.000000,top
"L1","10u/C2921170","L_Chilisin_BMRA00040420",127.100000,-76.075000,180.000000,top
"PS1","AP5100WG-7","SOT95P285X140-6N",136.100000,-80.325000,0.000000,top
"R1","10k","R_0603_1608Metric",164.690000,-94.125000,-90.000000,top
"R2","10k","R_0603_1608Metric",185.750000,-101.000000,90.000000,top
"R3","10k","R_0603_1608Metric",166.350000,-94.125000,-90.000000,top
"R4","10k","R_0603_1608Metric",139.100000,-84.300000,-90.000000,top
"R5","2k","R_0603_1608Metric",137.400000,-84.300000,90.000000,top
"R6","10k","R_0603_1608Metric",165.800000,-87.550000,-90.000000,top
"R7","10k","R_0603_1608Metric",134.200000,-84.300000,90.000000,top
"R8","2k","R_0603_1608Metric",135.800000,-84.300000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",154.000000,-80.600000,90.000000,top
"U2","74HC14","SOIC-14_3.9x8.7mm_P1.27mm",114.200000,-94.600000,-90.000000,top
"U3","74HC14","SOIC-14_3.9x8.7mm_P1.27mm",143.600000,-112.000000,-90.000000,top
"U4","74HC14","SOIC-14_3.9x8.7mm_P1.27mm",183.600000,-111.200000,90.000000,top
