"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U4,U3,U2";"SOIC-14_3.9x8.7mm_P1.27mm";3;"74HC14";;;
2;"C13,C12,C11,C8,C6,C4,C10,C9";"C_0805_2012Metric";8;"22u";;;
3;"R2,R1,R6,R3,R4,R7";"R_0603_1608Metric";6;"10k";;;
4;"IC13,IC19,IC30,IC31,IC7,IC18,IC5,IC17,IC29,IC25,IC23,IC6,IC12,IC24,IC11";"SOIC127P600X175-8N";15;"SI4174DY-T1-GE3";;;
5;"J4,J1,J7,J6,J5,J3";"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal";6;"Conn_01x04";;;
6;"D1";"D_SMA";1;"B340A";;;
7;"C5";"C_0603_1608Metric";1;"100n";;;
8;"H2,H1";"MountingHole_3.2mm_M3_DIN965_Pad";2;"MountingHole_Pad";;;
9;"J2";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
10;"JP1,JP2,JP4,JP5,JP3";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";5;"Jumper_2_Bridged";;;
11;"R8,R5";"R_0603_1608Metric";2;"2k";;;
12;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
13;"C1,C2";"C_1206_3216Metric";2;"10u/1206";;;
14;"PS1";"SOT95P285X140-6N";1;"AP5100WG-7";;;
15;"C7";"C_0603_1608Metric";1;"100p";;;
16;"IC1";"ESP32C3WROOM02N4";1;"ESP32-C3-WROOM-02-N4";;;
17;"L1";"L_Chilisin_BMRA00040420";1;"10u/C2921170";;;
18;"C3";"C_0603_1608Metric";1;"22n";;;
